corpus,id,text,labels,labels_final
cards_single,10,"Hmm. No lepers bell there. But perhaps Tim Flannery , then, is introduced as a paleontologist and mammalogist, not a climatologist who by definition works closely with people who pay him to scare us about global warming:",['5_2_5'],['5_2_5']
cards_single,1004,"Presumably somebody added the line and in doing so provided a general range for the MWP and the LIA. By eyeball the MWP covers A.D. 950 to 1350, and the LIA from A.D. 1350 to 1900. This does not match with the numbers in the text, particularly for the LIA with numbers attributed to Grove of 150 to 450 years ago or A.D. 1540 to 1840. There are a few interesting comments that needed correction for the politically motivated 2001 IPCC Report. In referring to the MWP, they note,",['5_2_5'],['5_2_5']
cards_single,1005,This period of widespread warmth is notable in that there is no evidence that it was accompanied by an increase of greenhouse gases.,['2_1_4'],['2_1_4']
cards_single,1013,"All these points confronted and contradicted the political agenda of blaming human CO2 for global warming and latterly climate change. Refutation began in the 1995 Second Assessment Report (SAR) and hit full stride with the 2001 Third Assessment Report (TAR) and its central feature, the Hockey Stick. Accurate determination of the onset and termination dates for the MWP and LIA, the relative homogeneity, was essential to identifying the underlying mechanisms. The Hockey Stick solved the problem by eliminating the events completely and tacking on a modern blade with an error factor that made the numbers meaningless. Welcome to IPCC climate science.",['5_1_2'],['5_1_2']
cards_single,1078,"Cost to ""avoid"" global warming: $1.3 Quadrillion per Degree",['4_1_1'],['4_1_1']
cards_single,1079,Suspend disbelief for a moment and just assume that man-made CO2 causes global warming...,['2_2_0'],['2_2_0']
cards_single,1094,"and since the cost of AB 32 (direct & indirect) is at least $116 Billion, the cost to ""avoid global warming"" per 1 C would be $116,000,000,000/.000087429 = $1,326,790,881,744,043 ($1.3 Quadrillion per degree). Note: Global GDP (61.1 trillion) is less than 5% of this amount. Looks like the cost/(assumed benefits) ratio is rather high, even if you are a true believer.",['4_1_1'],['4_1_1']
cards_single,1117,"These positions reflect adherence to the shaky hypothesis of catastrophic manmade global warming and unsupportable claims that the oil sands contribute disproportionately to a looming climate Armageddon. However, Alberta environment office show that greenhouse gas emissions from oil sands plummeted 38% between 1990 and 2009, and are now 5% of Canadas total GHG emissions and equal to or lower than CO2/GHG emissions from petroleum operations in Nigeria, Iraq, Saudi Arabia and Venezuela.",['5_1_0'],['5_1_0']
cards_single,1193,"Heres the simplest interpretation a small cadre of well paid scientists make ambitious, inept climate models that billions of dollars of decisions relies on.",['5_1_4'],['5_1_4']
cards_single,1239,"Attempts to resolve the arguments are plagued with problems, a lot of which are inherently insoluble. There are many aspects of the behaviour of the natural climate system and of human society that are unpredictable in principle, let alone in practice. But perhaps the biggest of the underlying problems, and it is common to both arguments since it inevitably exists when there is large unpredictability and uncertainty, is the presence of strong forces encouraging public overstatement and a belief in worst-case scenarios.",['5_1_0'],['5_1_0']
