ID,Claim,Source,Date,Climate_Feedback,Climinator,Duplicated,Veracity
1,"Magnetic poles reversals involve the Earth flipping vertically and momentarily stopping its rotation, causing cataclysmic events during 6 days.","Joe Rogan & Jimmy Corsetti, TikTok&Spotify",14-Jun-23,Incorrect,incorrect,FALSE,FALSE
2,"“We have been cooling down for the past 4000 years”; the Earth has cooled since the ‘medieval warming’, “It’s all about when you start the measurements”","Ian Plimer, Media Research Center",15-May-23,Inaccurate,misleading,FALSE,FALSE
3,Antarctic sea-ice extent is increasing to record levels. Antarctica is getting colder; its sea ice and ice cap are not melting,"Judith Curry and Don Easterbrook, CFACT",28-Apr-23,Inaccurate,incorrect,FALSE,FALSE
4,Chemtrails contain toxic substances such as barium salts that are 10 thousand times more toxic to your nervous system than lead,"William Deagle, Facebook",06-Apr-23,Inaccurate,incorrect,FALSE,FALSE
5,"Climate changed naturally in prehistoric eras, modern climate change is a naturally occurring phenomenon","Social media user, Instagram",23-Jan-23,Flawed_Reasoning,flawed_reasoning,FALSE,FALSE
6,Scientists have found no consistent correlation between CO2 and temperature; scientists do not know whether earth will warm or cool in future,"Tom Harris, Fox News",18-Oct-22,Inaccurate,incorrect,FALSE,FALSE
7,"“The question is, ‘how much of an impact do we have on climate?’ That has not totally been quantified”; climate change is happening anyway, “The ice age happened without us...It’s probably this constant cycle”.","Joe Rogan, Joe Rogan Experience",11-Oct-22,Flawed_Reasoning,flawed_reasoning,FALSE,FALSE
8,CO2 is not the cause of our current warming trend; Arctic sea ice has expanded in recent years; Polar bears’ population is growing and is not threatened by climate change; CO2 is good for plant life,"Patrick Moore, The Epoch Times",20-Sep-22,Incorrect,incorrect,FALSE,FALSE
9,“Believing CO2 controls the climate is pretty close to believing in magic.”,"Richard Lindzen, Climate Change is Crap",02-Sep-22,Incorrect,incorrect,FALSE,FALSE
10,"“Natural variation explains a substantial part of global warming observed since 1850;” no statistical evidence that global warming is intensifying natural disasters, or making them more frequent.","Toby Young, Daily Sceptic",24-Aug-22,Incorrect,incorrect,FALSE,FALSE
11,"Magnetic poles reversals involve the Earth flipping vertically and momentarily stopping its rotation, causing cataclysmic events during 6 days.","Joe Rogan & Jimmy Corsetti, TikTok&Spotify",14-Jun-23,Incorrect,incorrect,TRUE,FALSE
12,"“We have been cooling down for the past 4000 years”; the Earth has cooled since the ‘medieval warming’, “It’s all about when you start the measurements”","Ian Plimer, Media Research Center",15-May-23,Inaccurate,misleading,TRUE,FALSE
13,Antarctic sea-ice extent is increasing to record levels. Antarctica is getting colder; its sea ice and ice cap are not melting,"Judith Curry and Don Easterbrook, CFACT",28-Apr-23,Inaccurate,incorrect,TRUE,FALSE
14,Chemtrails contain toxic substances such as barium salts that are 10 thousand times more toxic to your nervous system than lead,"William Deagle, Facebook",06-Apr-23,Inaccurate,incorrect,TRUE,FALSE
15,"Climate changed naturally in prehistoric eras, modern climate change is a naturally occurring phenomenon","Social media user, Instagram",23-Jan-23,Flawed_Reasoning,incorrect,TRUE,FALSE
16,Scientists have found no consistent correlation between CO2 and temperature; scientists do not know whether earth will warm or cool in future,"Tom Harris , Fox News",18-Oct-22,Inaccurate,incorrect,TRUE,FALSE
17,"“The question is, ‘how much of an impact do we have on climate?’ That has not totally been quantified”; climate change is happening anyway, “The ice age happened without us...It’s probably this constant cycle”.","Joe Rogan, Joe Rogan Experience",11-Oct-22,Flawed_Reasoning,flawed_reasoning,TRUE,FALSE
18,CO2 is not the cause of our current warming trend; Arctic sea ice has expanded in recent years; Polar bears’ population is growing and is not threatened by climate change; CO2 is good for plant life,"Patrick Moore, The Epoch Times",20-Sep-22,Incorrect,incorrect,TRUE,FALSE
19,“Believing CO2 controls the climate is pretty close to believing in magic.”,"Richard Lindzen, Climate Change is Crap",02-Sep-22,Incorrect,incorrect,TRUE,FALSE
20,"“Natural variation explains a substantial part of global warming observed since 1850;” no statistical evidence that global warming is intensifying natural disasters, or making them more frequent.","Toby Young, Daily Sceptic",24-Aug-22,Incorrect,incorrect,TRUE,FALSE
21,Carbon dioxide is not a climate heat driver; we had an ice age when the Earth had extraordinarily larger amounts of carbon dioxide; in the 1970s scientists thought we were going to have a new ice age.,"Jerome Corsi, CBN News",05-Aug-22,Incorrect,incorrect,FALSE,FALSE
22,"Scientists have neglected the effect of solar particles, cosmic rays, the interplanetary magnetic field and Earth’s weakening magnetic field to conclude climate change is due to human activity","Ben Davidson, Suspicious0bservers",29-Jul-22,Incorrect,incorrect,FALSE,FALSE
23,”Global warming started to run out of steam over two decades ago... Half of the apparent global temperature increase from January 1910 to January 2000 is due to administrative adjustments.”,"Chris Morrison, Daily Sceptic",09-Jun-22,Incorrect,incorrect,FALSE,FALSE
24,"“...Seven and a half years have passed since there was any trend in global warming at all” If global warming was caused by human emissions, temperature would rise at a steady rate","Christopher Monckton, Watts Up With That?",11-Apr-22,Incorrect,incorrect,FALSE,FALSE
25,"”There is no evidence, other than models, that human CO2 emissions drive climate change and abundant evidence that the Sun, coupled with natural climate cycles, drives most, if not all, of recent climate changes”","Andy May, CO2 Coalition",16-Mar-22,Incorrect,incorrect,FALSE,FALSE
26,More than 75 percent of the rainforest is losing resilience; More than half of the rainforest could be converted into savanna in a matter of decades,"Sarah Kaplan, Washington Post",15-Mar-22,Mostly_Accurate,correct_but,FALSE,TRUE
27,Study Shows The Great Barrier Reef Is Growing Quickly,"Ben Zeisloft, The Daily Wire",30-Oct-21,Misleading,incorrect,FALSE,MISLEADING
28,An electric car “costs more than seven times as much” as a gasoline powered car,"Facebook users, Facebook",21-Oct-21,Inaccurate,incorrect,FALSE,FALSE
29,"”the US corn crop, at its peak, produces 40% more oxygen than the Amazon rainforest.”","Facebook users, Facebook (see claim in context)",23-Sep-21,Inaccurate,NEI,FALSE,FALSE
30,"”Global warming saves 166, 000 lives each year”; those claiming that climate change is causing heat-related deaths are wrong because they ignore that the population is growing and becoming older","Bjorn Lomborg, New York Post, Facebook",15-Sep-21,Unsupported,misleading,FALSE,FALSE
31,”Great Barrier Reef Sea Surface Temperature: No Change In 150 Years”,"David Mason- Jones, Watts Up With That?",08-Sep-21,Inaccurate,incorrect,FALSE,FALSE
32,The Sun and not human emissions of carbon dioxide may be the main cause of warmer temperatures in recent decades. There is a systemic bias in UN IPCC’s data selection.,"Alex Newman, The Epoch Times, The Western Journal, Newsmax",30-Aug-21,Incorrect,incorrect,FALSE,FALSE
33,“The amount of coral on the Great Barrier Reef is at record high levels”; those claiming the reefis threatened byclimate change are alarmists,"Peter Ridd, The Australian, Climate Change Dispatch, Watts Up With That?",21-Aug-21,Inaccurate,incorrect,FALSE,FALSE
