index,text,true_narratives,true_claims
0,"The experts, like James Hansen and Michael Shellenberger, who really, really believe in global warming, are loudly saying the solution is nuclear, not wind or solar.",['N_4'],"[‘C_28_4’, ‘C_2_0’]"
1,"It was a hot issue whether the wind farm would be able to compensate for Vermont Yankee’s production.
“Industrial wind can’t replace Yankee nuclear, but there are things that could,” Wilbur said. She suggested Vermonters work to reduce heating costs by starting a home insulation fund or deter pollution by taxing pollutants like cigarettes.",['N_4'],"['C_26_0', 'C_28_4']"
2,"Mr Walker said, “Coal and nuclear power can technically be turned on and off when they want but wind farms are completely intermittent and despite all the numbers quoted, they can’t provide power when it is needed.
“There just isn’t the wind in northern Europe to justify the wind farms.
“They would only provide up to 3% of electricity demand and only work when the wind blows so what use are they?”",['N_4'],"['C_26_0', 'C_28_4', 'C_28_5']"
3,Backing up Stockbridge is a conclusion in one of the outside reports indicating an onshore wind farm would cost customers half as much as the offshore facility.,['N_3'],"['C_20_0', 'C_28_1']"
4,"But, alas, he now says the project’s economics, requiring heavy government subsidies, don’t add up, and then there’s that aesthetic thing outside his window. So Koch now spends his time trying to kill the plan, partly by raising money to re-energize the once stumbling Alliance to Protect Nantucket Sound. The not-for-profit has raised $11 million to date–with Koch and rich counterparts accounting for 90% of the money donated. Continuing the fight may be harder to keep up. “It’s so damn expensive, the alliance has to spend $2 million to $3 million a year to fight [Gordon] and people down here are cheap Yankees,” Koch says. “The Mellons and the Duponts live down here, and trying to get $50,000 out of them is like trying to twist a rock.”","['N_2', 'N_3']","['C_11_0', 'C_24_0']"
5,"Inefficient, unreliable, unsightly and financially unviable windmills are not the way forward on Mynydd yr Gwair.","['N_2', 'N_3', 'N_4']","['C_11_0', 'C_26_0', 'C_27_0']"
6,"The goal, which is equivalent to 3,000 high-capacity wind turbines, is 'not viable, neither from an economic nor a technological point of view,' the paper quoted a spokesman from German utility E.ON AG as saying.","['N_3', 'N_4']","['C_26_0', 'C_27_0']"
7,"this year’s meeting saw all those efforts hit paydirt. pseg ceo ralph larossa announced that following a review of their various subsidiaries, the company concluded that offshore wind “did not meet investor demands” and was found to “not meet corporate expectations.” the result of this analysis was that pseg decided to sell off that sector of their business.",['N_3'],['C_27_0']
8,"In addition, the recommendation states PSO’s analysis “contained assumptions regarding future gas prices, carbon costs, and wind additions that overstate the benefits of the project,” and that the project shows potential risky elements such as the risk of cost overruns on, or complete failure of, the Gen-Tie line; failure of Wind Catcher to qualify for full production tax credits and a risk of non-performance by other AEP companies.","['N_3', 'N_6']","['C_27_0', 'C_32_1', 'C_32_3']"
9,"on the other side of the equation, there are those who are obsessed with net-zero. the missing dimension in thinking about energy is energy security. we need a reliable system. and the other part of that is not just domestic reliability in our system, which can’t be delivered by the kind of solar panels and wind farms that you’re seeing on your screen, but it has to have the international dimension. it is vital to national security that we get this right. we can’t be reliant upon long supply chains for renewable energies. we need to be mindful of our obligations to our friends and allies who rely on our exports of coal, gas, and uranium.australia has taken 25 years to basically stuff the energy system.","['N_4', 'N_7']","['C_26_0', 'C_28_5', 'C_37_0']"
10,"if windy areas are remote from consumers, as in texas, reaching a wind generator may require dedicated radial transmission that cannot be used to deliver power from alternative sources; its isolation from most of the energy grid also means that it contributes little to reliability.",['N_4'],['C_26_0']
11,"the only offshore wind farm in operation in the united states is off of block island—a 30-megawatt facility off the coast of rhode island that cost $10,000 per kilowatt to construct—over 10 times more than the cost of a new natural gas combined cycle unit. according to the energy information administration, the cost of unsubsidized offshore wind is 13.8 cents per kilowatt hour—about double what vineyard wind is projected to cost.",['N_3'],"['C_27_0', 'C_28_5']"
12,"for three decades, scientists have reported the build-up of dead insects on wind turbine blades in different regions around the world. researchers in germany found a 76 percent decline in flying insect biomass in conducting a 27-year population monitoring study. wind turbines are contributing to what is called the “insect die-off.” the german insect death toll from wind turbines of 1.2 trillion per year is one-third
of the total annual insect migration in southern england.
insect die-off also reduces the efficiency of the wind turbines. in 2001, researchers calculated
that the build-up of dead insects on wind turbine blades can reduce the electricity they generate by 50 percent.","['N_1', 'N_4']","['C_1_0', 'C_26_0']"
13,"the german government also forced the wind power industry to cut costs, introducing a market-based tendering model. the economic and legal risks have made investors leery about investing in wind projects without the massive government-mandated subsidies that the wind industry enjoyed.",['N_3'],"['C_24_0', 'C_27_0']"
14,"meeting its renewables target without nuclear fuel reprocessing will be a multibillion-dollar experiment that will require the government to build tens of thousands more wind turbines, including up to 7,000 offshore giant turbines.[17] as british writer christopher booker notes, ""to build two turbines a day, nearly as high as the eiffel tower, is inconceivable.""[18] with prohibitive financial costs, unreliable technology, and public opposition, the british plan does not make for effective or efficient environmental policy.","['N_2', 'N_3', 'N_4', 'N_5']","['C_26_0', 'C_27_0', 'C_5_0']"
15,"in addition to building and operating the huge osw array itself, there may be issues with the power lines use to bring the juice ashore. these lines are collectively gigantic compared to even our biggest onshore power lines.
phase one has a generating capacity of about 2,600 mw, with phase two boosting that to 5,200 mw. to my knowledge the biggest ac power line in america is just around 750 mw, and up to 1,000 mw for dc. thus the osw lines dwarf these land lines.
the whales are thought to actually dig into the ocean floor, which is an obvious problem with these monster power lines. but there is also the question of how the strong emf of these lines might affect them?",['N_1'],"['C_10_0', 'C_1_2']"
