itemId,content,travcoan_codes,mirjamnanko_codes,shared_codes,travcoan_only,mirjamnanko_only,jaccard
augCards_chapter_221,"@EDavidAn @Lotlampe @MRobertsQLD Dave, if global warming is caused by man made CO2, what raised the temperature to bring us out of the last ice age 13,000 years ago? And all of the ice ages before that?",2_1_4,2_1_4; 2_3_0,2_1_4,,2_3_0,0.500
augCards_chapter_307,Welcome to Global Warming - where you freeze in mid-summer! and the Trudeau Gov taxes you for it.,1_3_0; 4_1_1,1_3_0; 4_1_5,1_3_0,4_1_1,4_1_5,0.333
augCards_chapter_321,Climate change is real. But stop bullshitting us about too warm seas. Our Adriatic Sea hasn't been this cold (19'C in August) in like last 7 years or more! #ClimateScam https://t.co/9JE0FQAuIO,1_5_0; 6_2_0,1_5_0,1_5_0,6_2_0,,0.500
augCards_chapter_372,"Quote: ""A potential...(EC) act to classify lithium as a Category 1A reproductive toxin...could undermine the European Union (EU)’s attempt to create and support a domestic battery materials supply chain.""Green Energy Climate Change Mania Is Crumbling https://t.co/0oIS1itGYr",4_1_3,6_0_0,,4_1_3,6_0_0,0.000
augCards_chapter_378,@Ra2AlFool @SolomonPhoenix_ When we have a heat wave it’s moves north from Africa and Europe it’s got nothing to do with this so called climate change it’s done that’s for decades 😒,1_7_0; 2_1_0,1_7_0,1_7_0,2_1_0,,0.500
augCards_chapter_401,"@ProfBillMcGuire @COP27P Warren Buffett: Claimed Increase in Extreme Weather 'Hasn't Been True So Far."" BUT highly beneficial to Ins Co’s jacking up premiums! Insurance more profitable by raising premiums w/o higher risk https://t.co/iVT7zKNYVw #climatechange #globalwarming #USPolitics #ClimateEmergency",1_7_0; 4_1_1,1_7_0; 4_1_5,1_7_0,4_1_1,4_1_5,0.333
augCards_chapter_402,@woke_aggie @WBrettWilson @SebVettelBR BC? those are all natural events. nothing you have mentioned is man made climate change. your fake flood story is directly refuted by the largest floods on record being in early to mid 1800s. you should stop drinking the Koolaid and use your head.,1_7_0; 2_1_0,1_7_0; 2_1_0; 6_2_0,1_7_0; 2_1_0,,6_2_0,0.667
augCards_chapter_428,@dagenmcdowell Check out Glenn Beck's video on global supply chain and ESG scores on mandatory climate change protocols on ALL businesses. They are setting up more ways to federalize compliance hurting mom and pops. Pelosi bought MICRO &amp;APPLE STOCK. WHY? Racket,4_1_1; 4_1_5,4_1_5,4_1_5,4_1_1,,0.500
augCards_chapter_440,"Biden admits gas and food prices aren't coming down anytime soon...it's all going according to plan. Gotta keep the ""global warming"" crowd happy. He knows what has to be done, he just won't do it. https://t.co/8vt15vEmnb via @nypost",4_1_1,4_1_1; 6_2_0,4_1_1,,6_2_0,0.500
augCards_chapter_482,"@elonmusk lets give the socialists their utopia, a gulag on Pluto which would reduce our carbon footprint but not stop climate change as climate change is a scientifically proven fact throughout history by extrinsic/intrinsic factors🤔",2_1_4,2_1_4; 4_1_5,2_1_4,,4_1_5,0.500
augCards_chapter_492,"@DeborahMeaden @hughesmick Why don’t you talk to politicians in China , India , Brazil etc ? Germany &amp; Poland has hundreds of coal fired power stations , we have less than 5 . Uk responsible for less than 1% of emissions, climate change, give us a break you silly champagne socialist.",4_2_4,4_2_3; 4_2_4,4_2_4,,4_2_3,0.500
augCards_chapter_487,"Until China gets on board with reducing emissions,  any measures by the EU are pointless. This has nothing to do with #ClimateChange. This is control and De-population through starvation, for the #GreatReset https://t.co/jq1bgc12lO",4_1_5; 4_2_4; 6_2_0,4_2_4; 6_2_0,4_2_4; 6_2_0,4_1_5,,0.667
augCards_chapter_514,"How about Chyna? Shouldn't they be working on climate change too?BTW, I don't trust those numbers, @WHO https://t.co/dV5YCPJUVg",4_2_4,4_2_4; 6_1_3,4_2_4,,6_1_3,0.500
augCards_chapter_538,"@Times__Earth Actually, northeast Atlantic white sharks range from the Gulf of Mexico to the Gulf of St. Lawrence and their numbers are returning to normal thanks to conservation efforts.Stop spreading climate change hooey.",6_1_0,1_0_0; 3_2_0,,6_1_0,1_0_0; 3_2_0,0.000
augCards_chapter_557,"@AndrewMansell2 Re: ""Global Warming is existential""If you live in certain areas – it is.But for majority of top GDP countries it's much more manageable. There is obviously a risk of the feedback loop, but personally, I have suspicion that planet ecosystem is more adaptable than we estimate.",3_1_0; 3_2_1,3_2_1,3_2_1,3_1_0,,0.500
augCards_chapter_569,"@LayahHeilpern Don't worry, according to them, we'll be frozen bc of climate change by then. 🫠",6_1_0,1_2_0,,6_1_0,1_2_0,0.000
augCards_chapter_579,@statsjamie So much rubbish is spouted about man-made global warming. It’s ironic in the light of realistic scientists and geologists pointing to a pattern which indicates we’re entering a cooling period. (See Bjorn Lomborg). But people in a state of fear are much easier to control.,1_2_0; 5_1_0; 6_2_0,1_2_0; 2_1_0; 6_1_5; 6_2_0,1_2_0; 6_2_0,5_1_0,2_1_0; 6_1_5,0.400
augCards_chapter_604,"So where is climate change,  being affected by Co2 emissions,  if trees thrive on the extra Co2,  if there is so much in the atmosphere,  the trees are not thriving,  because of a lack of Co2 in the atmosphere",3_3_1,1_0_0; 3_3_1,3_3_1,,1_0_0,0.500
augCards_chapter_668,"@TristanSnell Go to hell! We need more oil, not your climate change renewables bull sh**! You environmentalists ARE the problem!",4_2_7; 6_1_4; 7_0_0,6_1_4; 7_0_0,6_1_4; 7_0_0,4_2_7,,0.667
augCards_chapter_168,THE GREAT FALLACY! #ClimateChange and #GreenEnergy Hypocrisy and False Narratives. OUR FULL STORY HEREhttps://t.co/rmouC00FXG#BlackVotersMatter #latinovote #AsianVote #gasprices #Inflation #BlackVote #C02 #globalwarming #NASA #NOAA https://t.co/p3CV9NdYCu,4_0_0; 6_1_0,6_1_0,6_1_0,4_0_0,,0.500
augCards_chapter_230,"@EcoSenseNow With tides of 2 or 3 meters, this doesn't proof anything. I don't believe in anthropogenic climate change, by the way.",1_6_0; 2_0_0,2_0_0,2_0_0,1_6_0,,0.500
augCards_chapter_376,"@WhiteHouse There is no climate crisis. Weather was more extreme in the 1930s, 40s &amp; 50s. Heil Biden!",1_7_0,1_7_0; 4_1_5,1_7_0,,4_1_5,0.500
augCards_chapter_727,"What Climate Change? First Germany, Now France To Burn Coal Again https://t.co/YPqnugInsP",7_0_0,1_0_0; 4_1_1,,7_0_0,1_0_0; 4_1_1,0.000
